customer_ID,Age,Phone,Customer_Type,Customer_Class
23098401,70.0,65588057872.0,Individual,9.0
23098464,38.0,13118175170.0,Individual,9.0
23098894,27.0,48109495713.0,Individual,11.0
23099438,31.0,58698669744.0,Individual,5.0
23104304,,,Individual,4.0
23106042,77.0,68301460672.0,Individual,4.0
23106261,,65262386344.0,Individual,2.0
23106268,58.0,,Individual,10.0
23106352,,13332126684.0,Individual,7.0
23109346,84.0,61950671352.0,Individual,3.0
23111274,,49086074963.0,Individual,5.0
23111945,,24119832672.0,,7.0
23112088,72.0,,Individual,10.0
23114774,23.0,42238485060.0,Individual,
23115079,60.0,18880200401.0,Individual,10.0
23115842,,,Company,3.0
23116250,45.0,57061651161.0,Individual,6.0
23117012,20.0,,,
23118581,54.0,,,9.0
23122115,,52717402153.0,Individual,6.0
23122772,63.0,41235853538.0,Company,
23122828,57.0,65037364896.0,Individual,5.0
23123960,,15783272934.0,Individual,9.0
23124673,,64312078936.0,Individual,3.0
23126513,72.0,40909489609.0,Individual,
23128760,21.0,64026683687.0,Individual,6.0
23130581,43.0,69488297121.0,Individual,
23130959,89.0,62667140002.0,Individual,10.0
23132411,42.0,42983381442.0,Individual,
23134908,84.0,69379507064.0,Individual,4.0
23135041,87.0,40973882175.0,,8.0
23135586,51.0,37968975587.0,Individual,
23137196,72.0,35363999424.0,Company,11.0
23137535,84.0,56664333380.0,Individual,3.0
23138411,28.0,,Individual,3.0
23142229,44.0,,Individual,11.0
23142589,88.0,35731532289.0,,1.0
23142702,82.0,64496742998.0,Individual,1.0
23143130,45.0,,Individual,
23144350,,32256990608.0,Individual,
23144436,62.0,54083724588.0,Individual,3.0
23144438,25.0,,Individual,6.0
23148678,57.0,44658560648.0,Individual,2.0
23150177,,22945756125.0,Individual,8.0
23151342,82.0,42690545979.0,,
23151538,62.0,,Individual,5.0
23151925,32.0,35021358530.0,Individual,1.0
23152784,,68111872057.0,Individual,4.0
23153014,77.0,56567621685.0,Individual,6.0
23153151,89.0,13544252395.0,Individual,
23154265,33.0,28853304441.0,,11.0
23154827,31.0,36159827282.0,Company,6.0
23155503,,39046665665.0,Individual,
23156266,20.0,,Individual,2.0
23157093,,43837299091.0,Individual,1.0
23157762,,59964639623.0,Individual,8.0
23157930,50.0,10412673397.0,Individual,
23158902,44.0,68378016610.0,Individual,4.0
23159334,72.0,44427171641.0,Individual,
23159978,52.0,64082127173.0,Individual,
23161856,82.0,,,9.0
23163205,81.0,13184520614.0,,6.0
23164088,67.0,,Company,
23164404,28.0,,,7.0
23167711,23.0,39399543582.0,Individual,8.0
23168313,72.0,68374965792.0,Individual,6.0
23169591,80.0,42306279007.0,Individual,1.0
23169906,,66728455268.0,Individual,5.0
23170241,79.0,24707702460.0,Individual,4.0
23171629,85.0,25379767315.0,Individual,9.0
23171631,27.0,,Individual,6.0
23171723,,64560893187.0,,7.0
23172181,,,,6.0
23172685,53.0,,Individual,
23172720,21.0,49322933512.0,Individual,11.0
23174324,,46688992564.0,Individual,1.0
23174336,59.0,,Individual,1.0
23174519,82.0,64077073548.0,,8.0
23175356,82.0,27091421462.0,Individual,8.0
23176086,47.0,62687425177.0,Individual,
23177114,78.0,33157779546.0,Individual,3.0
23179541,67.0,45530383529.0,Individual,11.0
23180369,45.0,12400501431.0,Company,2.0
23182791,45.0,57432703718.0,Individual,8.0
23183185,84.0,31448816795.0,,7.0
23183472,35.0,47781769700.0,Individual,1.0
23184116,27.0,34126436373.0,Individual,1.0
23184486,43.0,39260006476.0,,7.0
23185824,60.0,41015715971.0,,6.0
23186866,58.0,48046684106.0,Individual,6.0
23187704,57.0,,Individual,
23189464,88.0,17024557553.0,Individual,8.0
23189917,80.0,,Individual,1.0
23190409,,64299777004.0,Individual,
23190466,50.0,29998585352.0,Individual,6.0
23195575,57.0,51039757795.0,Individual,
23198724,51.0,17568366246.0,Individual,2.0
23199577,69.0,28700979245.0,Individual,
23200083,,,,
23200103,73.0,51383306181.0,Individual,6.0
23200900,28.0,,Individual,10.0
23200939,,40834863418.0,Individual,8.0
23201283,45.0,37838478662.0,Individual,
23204125,59.0,42014981874.0,Individual,8.0
23205760,,,Individual,3.0
23206339,70.0,16835084069.0,Individual,1.0
23207557,,19991898993.0,Individual,4.0
23210244,,51442415372.0,Individual,9.0
23211229,,14406090366.0,Individual,3.0
23212149,83.0,29656188576.0,Individual,
23212908,77.0,51909157750.0,Individual,3.0
23213470,85.0,62451883125.0,Individual,1.0
23214887,63.0,28068131527.0,Individual,11.0
23215489,89.0,,Individual,4.0
23215601,78.0,20940100114.0,Individual,1.0
23216657,60.0,16329444897.0,,8.0
23217105,,53911414065.0,Individual,4.0
23217611,54.0,51161491098.0,Individual,8.0
23217776,85.0,28128425832.0,Individual,2.0
23219524,20.0,50840216690.0,,6.0
23220709,67.0,35155018055.0,Individual,6.0
23221503,,,Individual,
23221516,84.0,64319650287.0,Individual,1.0
23222134,56.0,,Individual,4.0
23223371,80.0,17169976166.0,Individual,4.0
23226444,,47839868518.0,,
23226475,75.0,56349089879.0,Individual,1.0
23228466,,42420145314.0,Individual,2.0
23232298,25.0,32795112411.0,Individual,8.0
23232458,81.0,30005202562.0,Individual,
23232487,42.0,65916134257.0,Individual,9.0
23233701,81.0,,,11.0
23235006,59.0,54365726227.0,Individual,8.0
23235335,,,,11.0
23235450,77.0,29533180341.0,Individual,3.0
23235749,50.0,23579769775.0,Individual,7.0
23236230,40.0,,Individual,2.0
23236804,78.0,62909274660.0,Individual,
23236869,89.0,14535283612.0,Individual,5.0
23238352,41.0,63488967214.0,Individual,10.0
23239763,85.0,,Individual,6.0
23239933,72.0,,Individual,9.0
23240236,33.0,63814551570.0,Individual,
23240325,63.0,29737749540.0,,
23240403,87.0,48378841456.0,Individual,
23240851,29.0,,Individual,
23240972,74.0,43208754795.0,Individual,2.0
23241579,75.0,47292012821.0,Individual,
23242105,75.0,60660009199.0,Individual,4.0
23243023,76.0,68295127520.0,Individual,
23245937,69.0,,Individual,
23246721,,49996627035.0,,8.0
23247957,57.0,,Individual,
23248175,73.0,45882302443.0,Individual,5.0
23248638,81.0,43561363804.0,Individual,8.0
23248642,60.0,47649251650.0,Individual,2.0
23251297,87.0,,Individual,4.0
23251972,57.0,13917335431.0,Individual,1.0
23255732,23.0,,Individual,1.0
23255881,58.0,27207954323.0,Individual,4.0
23256287,53.0,51909179567.0,Individual,9.0
23256877,61.0,34759547992.0,,4.0
23257322,42.0,23726099895.0,Individual,
23258695,86.0,56452934157.0,Individual,5.0
23260625,77.0,65228926555.0,Individual,10.0
23262154,47.0,38592010587.0,Individual,7.0
23262480,78.0,25116223929.0,Individual,7.0
23263153,48.0,16994225949.0,Individual,7.0
23264915,,34210037826.0,Individual,2.0
23265723,67.0,39416027544.0,Individual,
23266633,53.0,15279959629.0,Individual,
23266649,45.0,52593214185.0,Individual,8.0
23266998,27.0,,Individual,
23267170,71.0,55842728859.0,Individual,7.0
23267455,49.0,62024644438.0,Individual,7.0
23268303,59.0,28249621443.0,Individual,4.0
23269478,61.0,45064777959.0,Individual,4.0
23269661,40.0,56636115194.0,Individual,11.0
23270518,53.0,,Individual,9.0
23270762,30.0,50000339188.0,Individual,3.0
23272130,,41489425223.0,,
23272487,,29173774731.0,Individual,2.0
23272930,73.0,36354073948.0,Individual,4.0
23274084,89.0,69188957442.0,,5.0
23274524,39.0,,Individual,5.0
23275028,20.0,54224043931.0,Individual,4.0
23275580,37.0,64085717824.0,Individual,4.0
23276331,78.0,32626608823.0,Individual,4.0
23276737,56.0,10626914083.0,Individual,5.0
23277936,,67733859647.0,,8.0
23278004,64.0,14672534320.0,Individual,11.0
23278589,57.0,46971972818.0,Individual,10.0
23278599,44.0,57745585268.0,Individual,4.0
23279010,65.0,,Individual,3.0
23281890,72.0,35170271309.0,Individual,2.0
23281953,80.0,51775269827.0,Individual,3.0
23282221,27.0,31416285699.0,Individual,4.0
23283139,,,Individual,10.0
23283214,40.0,,,11.0
23284482,,29743112028.0,Individual,3.0
23285672,27.0,47598368776.0,,7.0
23285704,,16356781009.0,Individual,6.0
23287025,29.0,62075159237.0,Individual,11.0
23287830,89.0,58736371408.0,Individual,8.0
23288242,,49352098164.0,,7.0
23288679,53.0,38060525283.0,,8.0
23290110,84.0,20858402659.0,,
23290219,53.0,11120682101.0,Individual,10.0
23290287,22.0,60465405536.0,,
23290797,36.0,59524438098.0,Individual,11.0
23292759,,46703051288.0,Individual,4.0
23294622,78.0,,Individual,9.0
23299526,,65746639048.0,Individual,2.0
23300068,62.0,,Individual,8.0
23301874,37.0,,,
23302211,,,Company,3.0
23302890,,22808782258.0,Individual,
23304645,61.0,14378941651.0,Individual,9.0
23304899,58.0,69526543065.0,Individual,1.0
23307400,44.0,58072360686.0,Company,4.0
23307654,53.0,,Individual,10.0
23309103,89.0,,Individual,11.0
23309518,29.0,18887688063.0,Individual,11.0
23310622,57.0,59792254313.0,Individual,7.0
23310790,31.0,35620366129.0,,7.0
23312719,45.0,63560489860.0,Company,8.0
23313053,36.0,24507363123.0,Individual,5.0
23313203,81.0,16431519573.0,Individual,10.0
23315749,43.0,31424123315.0,Individual,5.0
23317865,,51505991549.0,,4.0
23318440,29.0,25245025351.0,Individual,9.0
23318459,,,,8.0
23318966,61.0,29216140851.0,Individual,10.0
23319013,46.0,69160143215.0,Individual,
23319078,62.0,20639137721.0,Individual,9.0
23320476,82.0,49209334668.0,Individual,10.0
23320805,31.0,27323425725.0,Individual,2.0
23321961,52.0,51417073021.0,Individual,3.0
23322085,,31929564835.0,,6.0
23322816,49.0,29342375561.0,Individual,4.0
23326464,52.0,14362031091.0,Individual,2.0
23326576,86.0,15459326136.0,Individual,7.0
23328066,42.0,68339264715.0,Individual,2.0
23328195,67.0,67250287010.0,Individual,9.0
23328967,60.0,58880055544.0,Individual,6.0
23329934,,56786888619.0,Individual,
23331597,34.0,,Individual,4.0
23331861,22.0,,Individual,
23333947,,60855261201.0,,8.0
23335127,53.0,15342790644.0,Individual,7.0
23335144,62.0,,,5.0
23335422,56.0,59073730567.0,Individual,
23336331,20.0,,Individual,6.0
23336824,44.0,15221782855.0,,3.0
23337128,70.0,62623326807.0,Individual,4.0
23339851,58.0,37731781634.0,Individual,9.0
23340938,75.0,59893529161.0,Individual,6.0
23341621,32.0,22145364634.0,Individual,10.0
23343949,35.0,62418001810.0,Individual,
23346067,,43902300913.0,Individual,5.0
23346621,43.0,67315133626.0,,11.0
23349491,76.0,41484190022.0,Individual,10.0
23350881,36.0,22090207868.0,Individual,7.0
23350949,65.0,14768861645.0,,3.0
23351563,53.0,,Individual,9.0
23351578,23.0,,Individual,11.0
23352425,78.0,21084781523.0,Individual,6.0
23354100,77.0,63425679169.0,,
23355969,40.0,52163263834.0,Individual,9.0
23356743,86.0,24332998046.0,Individual,10.0
23357236,80.0,34825582452.0,Individual,10.0
23358571,30.0,,Individual,
23358598,71.0,21543336573.0,,8.0
23358804,20.0,,Individual,2.0
23359750,33.0,49844051519.0,Individual,10.0
23360406,45.0,44391396526.0,Individual,7.0
23361631,67.0,11091135656.0,Individual,9.0
23361897,89.0,55403230532.0,,8.0
23362058,43.0,68119212083.0,Company,
23362087,71.0,39914751032.0,Individual,
23362919,74.0,30234518354.0,Individual,8.0
23363556,44.0,,,1.0
23364097,41.0,44323499074.0,Individual,9.0
23364264,,24368408097.0,Individual,11.0
23365380,86.0,51188477851.0,,
23365548,61.0,66369778134.0,Individual,9.0
23370150,21.0,55999732593.0,Individual,4.0
23370978,78.0,39765491637.0,Individual,11.0
23371403,72.0,67126479904.0,Individual,3.0
23371836,20.0,43541569943.0,Company,
23371979,77.0,35662129802.0,Individual,8.0
23372777,34.0,50006924609.0,Individual,8.0
23373638,,,Individual,7.0
23375251,68.0,52798733501.0,,
23375509,,47040890572.0,Individual,4.0
23376606,,23583656674.0,,3.0
23376622,36.0,59741818929.0,Individual,10.0
23379241,,16137334536.0,,5.0
23379626,83.0,36042110049.0,Individual,
23380248,36.0,61080519775.0,Individual,
23380553,87.0,,,11.0
23380747,,62424421116.0,Individual,10.0
23381848,22.0,69418540237.0,Individual,2.0
23382001,52.0,13184600803.0,Individual,10.0
23382250,77.0,45387861293.0,Individual,2.0
23383511,48.0,,Individual,1.0
23383650,42.0,47873316513.0,Individual,5.0
23384139,,64919924232.0,Individual,5.0
23385641,69.0,49788585659.0,Individual,11.0
23387887,24.0,41112447640.0,Individual,1.0
23389875,24.0,63788509705.0,Individual,3.0
23393161,,13125194081.0,Individual,4.0
23393574,,15073693234.0,Individual,1.0
23393863,29.0,47444003215.0,Individual,9.0
23394828,55.0,37334404925.0,Individual,3.0
23396195,71.0,16370680712.0,Individual,
23396323,26.0,43382914324.0,Individual,
23399007,51.0,,Individual,9.0
23399957,47.0,,Individual,
23402456,30.0,40294980137.0,Individual,11.0
23402982,,19750662176.0,Individual,10.0
23405235,46.0,37802732924.0,Individual,3.0
23406624,,54256200670.0,Company,7.0
23406686,84.0,46384205845.0,Individual,1.0
23410215,56.0,42710638137.0,,11.0
23412039,52.0,69832645955.0,Individual,
23413112,57.0,35441224987.0,Individual,7.0
23414339,86.0,55622293900.0,Individual,6.0
23416817,60.0,11572354051.0,Individual,
23418444,20.0,66942130603.0,,11.0
23419061,58.0,12606799400.0,Individual,8.0
23419949,84.0,29959719694.0,,7.0
23420535,29.0,45510709059.0,Individual,9.0
23422003,82.0,10251710793.0,Individual,2.0
23423361,69.0,,Individual,1.0
23425394,,57049395612.0,,10.0
23426003,25.0,23849328079.0,Individual,9.0
23429972,38.0,11332352422.0,Individual,5.0
23432708,65.0,,Individual,
23432726,84.0,34487181042.0,Individual,
23436055,58.0,34631689217.0,Individual,5.0
23436070,61.0,16203300030.0,Individual,
23437084,37.0,51769615796.0,Individual,11.0
23442396,64.0,69648416624.0,,
23445820,38.0,52314434584.0,Individual,6.0
23445923,83.0,,Individual,4.0
23446937,26.0,40652541588.0,Individual,8.0
23447522,,,,9.0
23447744,80.0,51662189914.0,Individual,10.0
23451462,59.0,17528818856.0,Individual,2.0
23452063,20.0,13481669990.0,,2.0
23452622,57.0,63142501446.0,Individual,3.0
23454051,56.0,11356321194.0,Individual,
23454384,27.0,,Individual,8.0
23455104,,39514533908.0,Individual,10.0
23457009,,65842797473.0,Individual,11.0
23458949,24.0,12362516233.0,Individual,6.0
23461783,58.0,,,7.0
23461981,60.0,49025020479.0,Individual,1.0
23462962,82.0,62355593459.0,Individual,9.0
23466488,54.0,42838586750.0,Individual,10.0
23467549,48.0,62834826114.0,,
23468978,52.0,,Individual,5.0
23468991,69.0,67781046551.0,Individual,6.0
23469016,28.0,58897475833.0,Individual,11.0
23469410,41.0,36805905609.0,Individual,
23469430,,40427486078.0,Individual,7.0
23470265,44.0,49415988030.0,Individual,6.0
23471789,,16122455258.0,,
23472094,30.0,,Individual,7.0
23473291,52.0,,Individual,2.0
23474223,28.0,59810280577.0,Individual,3.0
23474372,,50210233288.0,Individual,
23474730,65.0,49752509432.0,,3.0
23475015,40.0,,Individual,6.0
23475652,54.0,30480922417.0,Individual,10.0
23475795,24.0,45584905536.0,Individual,3.0
23476548,68.0,20744014494.0,Individual,10.0
23477978,44.0,37513863636.0,,
23478042,85.0,33731672854.0,,4.0
23479651,63.0,68804754730.0,Individual,
23479979,36.0,13383324630.0,Individual,1.0
23481398,77.0,52759763988.0,Individual,11.0
23481871,,,Individual,10.0
23484052,28.0,15687633016.0,Individual,
23484472,53.0,,Individual,11.0
23485162,74.0,62826645957.0,Individual,8.0
23485164,84.0,48404348053.0,,4.0
23487198,52.0,,Individual,10.0
23487536,22.0,57755683198.0,Individual,10.0
23488349,47.0,44207868072.0,Individual,1.0
23489714,86.0,44033243752.0,Individual,11.0
23490171,65.0,38063264171.0,,6.0
23490669,40.0,,Individual,5.0
23491255,84.0,10112515209.0,,2.0
23492404,27.0,63955225487.0,Company,1.0
23492582,,28782299884.0,Individual,1.0
23492820,85.0,33897486078.0,,1.0
23496604,82.0,31038319260.0,Individual,5.0
23498229,54.0,16224976931.0,Individual,
23498346,41.0,28156768518.0,Company,
23499613,37.0,50195482527.0,Individual,1.0
23501471,89.0,50569109328.0,Individual,9.0
23502807,23.0,29133794542.0,Individual,8.0
23503208,41.0,67285556129.0,,2.0
23505535,79.0,16282018927.0,Individual,9.0
23506844,26.0,15783257689.0,Company,10.0
23507444,81.0,56648649878.0,Individual,7.0
23509545,42.0,17924918083.0,Individual,5.0
23510479,43.0,24104754990.0,Individual,11.0
23510800,,69666137846.0,Individual,9.0
23514530,80.0,28999477716.0,Company,10.0
23514717,,,Company,7.0
23517184,77.0,62460422607.0,Individual,5.0
23517793,61.0,17348707324.0,,8.0
23517803,89.0,27305044947.0,Individual,1.0
23518120,59.0,34055359540.0,Individual,5.0
23518603,81.0,10120170001.0,Individual,4.0
23518791,46.0,15550503921.0,Individual,5.0
23520504,66.0,44243785320.0,Individual,11.0
23521568,36.0,21131846021.0,Individual,10.0
23522004,21.0,19848418179.0,Individual,
23522730,29.0,54188052992.0,,
23525776,83.0,40603336227.0,Individual,
23527576,83.0,50075512148.0,Individual,4.0
23528954,80.0,67768702401.0,Individual,3.0
23529405,55.0,38203540740.0,,9.0
23529766,28.0,35949337233.0,Individual,6.0
23530568,76.0,67320589757.0,,1.0
23531361,65.0,44578775937.0,Individual,7.0
23532104,81.0,14031950018.0,Individual,8.0
23532777,64.0,,Individual,9.0
23533377,72.0,,,
23534997,34.0,,Individual,9.0
23535246,,44813359393.0,Individual,7.0
23535485,78.0,33777805920.0,Individual,5.0
23537263,,34056942848.0,Individual,9.0
23539194,71.0,60355513715.0,Individual,11.0
23541344,34.0,,Individual,6.0
23541481,,33009240412.0,Individual,10.0
23543080,49.0,13207401781.0,Individual,
23543871,28.0,66861868020.0,,8.0
23543898,86.0,22745208669.0,Individual,
23544044,76.0,48544975994.0,Individual,
23544734,76.0,33560069251.0,Individual,9.0
23545049,76.0,53509263434.0,Individual,2.0
23545262,57.0,48734523815.0,Company,2.0
23548792,62.0,10507756960.0,Individual,8.0
23550863,25.0,63156317454.0,Individual,10.0
23552041,34.0,,Individual,9.0
23554923,76.0,24769507213.0,Individual,8.0
23555110,31.0,19196136785.0,Individual,
23555722,36.0,,Individual,6.0
23556390,51.0,21859114323.0,Individual,10.0
23556394,78.0,22621930948.0,Individual,5.0
23557184,79.0,58347974549.0,Individual,9.0
23559061,84.0,25155419249.0,,2.0
23559183,81.0,22111304915.0,Individual,8.0
23560026,84.0,56415283912.0,,2.0
23560151,77.0,51415757262.0,Individual,10.0
23562077,36.0,23069281996.0,,6.0
23564232,,,Individual,2.0
23565902,23.0,43674551761.0,Individual,
23570241,25.0,,Individual,1.0
23571442,70.0,60107668072.0,,3.0
23571832,62.0,,Individual,11.0
23572908,68.0,36915494084.0,,8.0
23573232,,51503708970.0,Individual,10.0
23575686,,65635615057.0,Individual,5.0
23575917,75.0,42529817805.0,Individual,10.0
23577477,79.0,65232487281.0,Individual,2.0
23578703,75.0,,Individual,3.0
23578951,53.0,66803475097.0,Individual,4.0
23579309,31.0,23080520604.0,Individual,7.0
23582247,,22818573420.0,,
23582430,,,Individual,6.0
23584383,27.0,,Individual,7.0
23585262,44.0,15423787011.0,Individual,2.0
23586525,,65511899144.0,Individual,1.0
23586897,,,,1.0
23587840,75.0,,Individual,2.0
23588553,85.0,28437784991.0,Individual,11.0
23589061,47.0,41855275307.0,Individual,
23589140,,69107171655.0,Individual,6.0
23589441,,65869243932.0,Individual,11.0
23589843,61.0,19508503453.0,Individual,8.0
23590112,,69283919258.0,Individual,8.0
23590213,76.0,19726682639.0,,1.0
23591769,72.0,67260603059.0,Individual,5.0
23592668,,51574848018.0,Individual,5.0
23593324,51.0,34275823143.0,,4.0
23593416,26.0,13646635821.0,Individual,9.0
23593691,53.0,39810356763.0,Individual,8.0
23593692,78.0,60135252012.0,Individual,8.0
23594159,66.0,39464435953.0,,5.0
23595850,46.0,11128232585.0,Individual,3.0
23596248,71.0,37670441797.0,,3.0
23596411,52.0,67199900567.0,,
23598415,,39073895254.0,Individual,5.0
23598493,66.0,43277644609.0,,11.0
23599113,27.0,41788431543.0,Individual,2.0
23599244,69.0,55812175519.0,,3.0
23599280,59.0,22940985277.0,Individual,5.0
23601322,85.0,,Individual,5.0
23601493,25.0,41880781323.0,Individual,11.0
23602083,,61137135801.0,Individual,3.0
23604611,58.0,40260349713.0,Individual,
23605127,65.0,36128667752.0,Individual,11.0
23609629,43.0,12146981643.0,,4.0
23610870,32.0,28133822179.0,Individual,
23613041,29.0,68970663676.0,,2.0
23614174,49.0,47292720447.0,Individual,8.0
23614966,49.0,38478500234.0,Individual,1.0
23615057,,52266744553.0,Individual,11.0
23615167,44.0,52290739830.0,Individual,5.0
23618427,29.0,,Individual,5.0
23618922,88.0,58193244199.0,Individual,10.0
23620928,57.0,12909723090.0,,6.0
23622491,,40933412590.0,Individual,
23623374,80.0,,,
23623449,44.0,60003690032.0,Individual,4.0
23623996,72.0,55890509088.0,Individual,3.0
23624315,73.0,,Individual,2.0
23625328,,55688790126.0,Individual,6.0
23625584,,15226855058.0,Company,4.0
23625771,33.0,17360048307.0,Individual,6.0
23626284,32.0,65758189759.0,Individual,
23626364,66.0,29290844610.0,,11.0
23627060,49.0,51497266666.0,Individual,4.0
23627380,32.0,63263891625.0,Individual,
23628264,,17779918734.0,,
23631151,68.0,,Individual,8.0
23631250,55.0,65884982881.0,Individual,9.0
23633575,54.0,39917498612.0,Individual,4.0
23633651,,68444504408.0,Individual,11.0
23633829,,24845947039.0,Company,10.0
23633994,21.0,14748074016.0,,6.0
23635138,37.0,65956763825.0,Individual,6.0
23636383,63.0,43314219392.0,Individual,5.0
23636640,75.0,31041525291.0,Individual,4.0
23637156,29.0,,Individual,9.0
23639682,,59255443415.0,,10.0
23640068,36.0,55511161289.0,Individual,9.0
23640402,87.0,17049471322.0,Individual,1.0
23640836,61.0,50104131567.0,Individual,
23640956,67.0,,Individual,3.0
23641184,78.0,15251298142.0,Individual,6.0
23641517,56.0,,,10.0
23642961,32.0,69013460213.0,Individual,
23643622,46.0,13338900564.0,Individual,3.0
23647474,22.0,46570693239.0,Individual,
23647831,42.0,30120664925.0,Individual,
23650176,66.0,58684212459.0,,11.0
23651454,,62532962575.0,Individual,10.0
23651832,54.0,68593808025.0,Individual,9.0
23651871,87.0,13830123314.0,,9.0
23652143,20.0,59339728174.0,Individual,4.0
23653265,,19057569953.0,Individual,7.0
23653389,68.0,64936244826.0,Individual,3.0
23653456,23.0,50244786433.0,Company,
23653762,31.0,54028562888.0,,9.0
23657984,,,Individual,
23658011,60.0,49106115171.0,Individual,6.0
23658320,,35997683417.0,Individual,1.0
23658418,79.0,47014593900.0,Individual,
23660375,30.0,27345030052.0,Individual,1.0
23660743,24.0,34066014104.0,Individual,9.0
23661155,28.0,31326634231.0,Individual,
23661542,57.0,55161477688.0,Individual,3.0
23662068,78.0,,Individual,
23662567,78.0,29070869441.0,Individual,2.0
23663557,69.0,35514755244.0,,
23664948,39.0,31563271930.0,,2.0
23666799,55.0,18169321368.0,Individual,10.0
23669288,56.0,44792998648.0,,10.0
23669536,69.0,61649026170.0,Individual,5.0
23671516,38.0,13595228538.0,Individual,2.0
23672165,24.0,31493870531.0,,9.0
23672943,69.0,49076351861.0,Individual,9.0
23673068,33.0,27754494289.0,Individual,10.0
23675137,71.0,61226808722.0,Individual,3.0
23675968,36.0,,Individual,2.0
23677370,75.0,55671414357.0,Individual,7.0
23679304,,25858739297.0,Individual,3.0
23679763,,52393675931.0,Individual,
23679976,44.0,41056465855.0,Individual,4.0
23681586,86.0,,Individual,2.0
23686649,66.0,,,8.0
23686722,60.0,14040171745.0,Individual,10.0
23686948,59.0,60982170861.0,Individual,9.0
23687685,29.0,45292329707.0,,2.0
23689704,46.0,16017892015.0,Individual,10.0
23689746,40.0,,Individual,10.0
23691236,77.0,59578167829.0,Individual,1.0
23692445,88.0,21167629978.0,,3.0
23692911,86.0,31020609006.0,Individual,1.0
23696060,72.0,50032053633.0,Individual,1.0
23696756,59.0,,Individual,
23697850,83.0,16325345537.0,Individual,10.0
23701649,,10386836766.0,Individual,6.0
23702925,51.0,22212323297.0,Individual,
23704763,,53933123833.0,Individual,
23705828,47.0,36331038213.0,Individual,5.0
23707653,44.0,55488349382.0,,10.0
23708186,75.0,51883125414.0,Individual,
23709654,28.0,33137277244.0,Individual,
23711497,64.0,47255779519.0,Individual,5.0
23715507,73.0,14508623223.0,Individual,
23716265,,38860692611.0,Individual,5.0
23716540,47.0,66586918934.0,Individual,
23717222,63.0,55802869404.0,Individual,10.0
